CCAA de estudio;Sexo;Tipo de centro;Habilidades TIC;Total
Total nacional;Mujeres;Total;No consta;80
Total nacional;Mujeres;Centro Público;Total;43.403
Total nacional;Mujeres;Centro Público;Usuario experto;5.063
Total nacional;Mujeres;Centro Público;Usuario de nivel avanzado;30.161
Total nacional;Mujeres;Centro Público;Usuario de nivel básico;8.105
Total nacional;Mujeres;Centro Público;No usuario de las TIC;5
Total nacional;Mujeres;Centro Público;No consta;69
Total nacional;Mujeres;Centro Privado;Total;15.034
Total nacional;Mujeres;Centro Privado;Usuario experto;1.754
Total nacional;Mujeres;Centro Privado;Usuario de nivel avanzado;9.525
Total nacional;Mujeres;Centro Privado;Usuario de nivel básico;3.743
Total nacional;Mujeres;Centro Privado;No usuario de las TIC;0
Total nacional;Mujeres;Centro Privado;No consta;11
Andalucía;Ambos sexos;Total;Total;19.150
Andalucía;Ambos sexos;Total;Usuario experto;4.357
Andalucía;Ambos sexos;Total;Usuario de nivel avanzado;11.188
Andalucía;Ambos sexos;Total;Usuario de nivel básico;3.549
Andalucía;Ambos sexos;Total;No usuario de las TIC;23
Andalucía;Ambos sexos;Total;No consta;32
Andalucía;Ambos sexos;Centro Público;Total;14.229
Andalucía;Ambos sexos;Centro Público;Usuario experto;3.572
Andalucía;Ambos sexos;Centro Público;Usuario de nivel avanzado;8.545
Andalucía;Ambos sexos;Centro Público;Usuario de nivel básico;2.077
Andalucía;Ambos sexos;Centro Público;No usuario de las TIC;14
Andalucía;Ambos sexos;Centro Público;No consta;20
Andalucía;Ambos sexos;Centro Privado;Total;4.921
Andalucía;Ambos sexos;Centro Privado;Usuario experto;784
Andalucía;Ambos sexos;Centro Privado;Usuario de nivel avanzado;2.643
Andalucía;Ambos sexos;Centro Privado;Usuario de nivel básico;1.472
Andalucía;Ambos sexos;Centro Privado;No usuario de las TIC;9
Andalucía;Ambos sexos;Centro Privado;No consta;13
Andalucía;Hombres;Total;Total;8.817
Andalucía;Hombres;Total;Usuario experto;3.169
Andalucía;Hombres;Total;Usuario de nivel avanzado;4.610
Andalucía;Hombres;Total;Usuario de nivel básico;993
Andalucía;Hombres;Total;No usuario de las TIC;23
Andalucía;Hombres;Total;No consta;22
Andalucía;Hombres;Centro Público;Total;6.740
Andalucía;Hombres;Centro Público;Usuario experto;2.509
Andalucía;Hombres;Centro Público;Usuario de nivel avanzado;3.551
Andalucía;Hombres;Centro Público;Usuario de nivel básico;656
Andalucía;Hombres;Centro Público;No usuario de las TIC;14
Andalucía;Hombres;Centro Público;No consta;9
Andalucía;Hombres;Centro Privado;Total;2.077
Andalucía;Hombres;Centro Privado;Usuario experto;660
Andalucía;Hombres;Centro Privado;Usuario de nivel avanzado;1.059
Andalucía;Hombres;Centro Privado;Usuario de nivel básico;337
Andalucía;Hombres;Centro Privado;No usuario de las TIC;9
Andalucía;Hombres;Centro Privado;No consta;13
Andalucía;Mujeres;Total;Total;10.333
Andalucía;Mujeres;Total;Usuario experto;1.188
Andalucía;Mujeres;Total;Usuario de nivel avanzado;6.578
Andalucía;Mujeres;Total;Usuario de nivel básico;2.556
Andalucía;Mujeres;Total;No usuario de las TIC;0
Andalucía;Mujeres;Total;No consta;11
Andalucía;Mujeres;Centro Público;Total;7.489
Andalucía;Mujeres;Centro Público;Usuario experto;1.063
Andalucía;Mujeres;Centro Público;Usuario de nivel avanzado;4.994
Andalucía;Mujeres;Centro Público;Usuario de nivel básico;1.421
Andalucía;Mujeres;Centro Público;No usuario de las TIC;0
Andalucía;Mujeres;Centro Público;No consta;11
Andalucía;Mujeres;Centro Privado;Total;2.844
Andalucía;Mujeres;Centro Privado;Usuario experto;125
Andalucía;Mujeres;Centro Privado;Usuario de nivel avanzado;1.584
Andalucía;Mujeres;Centro Privado;Usuario de nivel básico;1.135
Andalucía;Mujeres;Centro Privado;No usuario de las TIC;0
Andalucía;Mujeres;Centro Privado;No consta;0
Aragón;Ambos sexos;Total;Total;2.502
Aragón;Ambos sexos;Total;Usuario experto;555
Aragón;Ambos sexos;Total;Usuario de nivel avanzado;1.462
Aragón;Ambos sexos;Total;Usuario de nivel básico;459
Aragón;Ambos sexos;Total;No usuario de las TIC;0
Aragón;Ambos sexos;Total;No consta;26
Aragón;Ambos sexos;Centro Público;Total;1.868
Aragón;Ambos sexos;Centro Público;Usuario experto;365
Aragón;Ambos sexos;Centro Público;Usuario de nivel avanzado;1.094
Aragón;Ambos sexos;Centro Público;Usuario de nivel básico;383
Aragón;Ambos sexos;Centro Público;No usuario de las TIC;0
Aragón;Ambos sexos;Centro Público;No consta;26
Aragón;Ambos sexos;Centro Privado;Total;634
Aragón;Ambos sexos;Centro Privado;Usuario experto;190
Aragón;Ambos sexos;Centro Privado;Usuario de nivel avanzado;368
Aragón;Ambos sexos;Centro Privado;Usuario de nivel básico;76
Aragón;Ambos sexos;Centro Privado;No usuario de las TIC;0
Aragón;Ambos sexos;Centro Privado;No consta;0
Aragón;Hombres;Total;Total;1.454
Aragón;Hombres;Total;Usuario experto;464
Aragón;Hombres;Total;Usuario de nivel avanzado;753
Aragón;Hombres;Total;Usuario de nivel básico;220
Aragón;Hombres;Total;No usuario de las TIC;0
Aragón;Hombres;Total;No consta;18
Aragón;Hombres;Centro Público;Total;1.036
Aragón;Hombres;Centro Público;Usuario experto;314
Aragón;Hombres;Centro Público;Usuario de nivel avanzado;541
Aragón;Hombres;Centro Público;Usuario de nivel básico;164
Aragón;Hombres;Centro Público;No usuario de las TIC;0
Aragón;Hombres;Centro Público;No consta;18
Aragón;Hombres;Centro Privado;Total;418
Aragón;Hombres;Centro Privado;Usuario experto;150
Aragón;Hombres;Centro Privado;Usuario de nivel avanzado;212
Aragón;Hombres;Centro Privado;Usuario de nivel básico;56
Aragón;Hombres;Centro Privado;No usuario de las TIC;0
Aragón;Hombres;Centro Privado;No consta;0
Aragón;Mujeres;Total;Total;1.048
Aragón;Mujeres;Total;Usuario experto;91
Aragón;Mujeres;Total;Usuario de nivel avanzado;709
Aragón;Mujeres;Total;Usuario de nivel básico;239
Aragón;Mujeres;Total;No usuario de las TIC;0
Aragón;Mujeres;Total;No consta;8
Aragón;Mujeres;Centro Público;Total;832
Aragón;Mujeres;Centro Público;Usuario experto;52
Aragón;Mujeres;Centro Público;Usuario de nivel avanzado;553
Aragón;Mujeres;Centro Público;Usuario de nivel básico;219
Aragón;Mujeres;Centro Público;No usuario de las TIC;0
Aragón;Mujeres;Centro Público;No consta;8
Aragón;Mujeres;Centro Privado;Total;216
Aragón;Mujeres;Centro Privado;Usuario experto;40
Aragón;Mujeres;Centro Privado;Usuario de nivel avanzado;156
Aragón;Mujeres;Centro Privado;Usuario de nivel básico;20
Aragón;Mujeres;Centro Privado;No usuario de las TIC;0
Aragón;Mujeres;Centro Privado;No consta;0
Asturias, Principado de;Ambos sexos;Total;Total;2.783
Asturias, Principado de;Ambos sexos;Total;Usuario experto;731
Asturias, Principado de;Ambos sexos;Total;Usuario de nivel avanzado;1.444
Asturias, Principado de;Ambos sexos;Total;Usuario de nivel básico;559
Asturias, Principado de;Ambos sexos;Total;No usuario de las TIC;0
Asturias, Principado de;Ambos sexos;Total;No consta;49
Asturias, Principado de;Ambos sexos;Centro Público;Total;2.251
Asturias, Principado de;Ambos sexos;Centro Público;Usuario experto;666
Asturias, Principado de;Ambos sexos;Centro Público;Usuario de nivel avanzado;1.139
Asturias, Principado de;Ambos sexos;Centro Público;Usuario de nivel básico;397
Asturias, Principado de;Ambos sexos;Centro Público;No usuario de las TIC;0
Asturias, Principado de;Ambos sexos;Centro Público;No consta;49
Asturias, Principado de;Ambos sexos;Centro Privado;Total;532
Asturias, Principado de;Ambos sexos;Centro Privado;Usuario experto;65
Asturias, Principado de;Ambos sexos;Centro Privado;Usuario de nivel avanzado;305
Asturias, Principado de;Ambos sexos;Centro Privado;Usuario de nivel básico;162
Asturias, Principado de;Ambos sexos;Centro Privado;No usuario de las TIC;0
Asturias, Principado de;Ambos sexos;Centro Privado;No consta;0
Asturias, Principado de;Hombres;Total;Total;1.385
Asturias, Principado de;Hombres;Total;Usuario experto;413
Asturias, Principado de;Hombres;Total;Usuario de nivel avanzado;627
Asturias, Principado de;Hombres;Total;Usuario de nivel básico;296
Asturias, Principado de;Hombres;Total;No usuario de las TIC;0
Asturias, Principado de;Hombres;Total;No consta;49
Asturias, Principado de;Hombres;Centro Público;Total;1.160
Asturias, Principado de;Hombres;Centro Público;Usuario experto;365
Asturias, Principado de;Hombres;Centro Público;Usuario de nivel avanzado;498
Asturias, Principado de;Hombres;Centro Público;Usuario de nivel básico;248
Asturias, Principado de;Hombres;Centro Público;No usuario de las TIC;0
Asturias, Principado de;Hombres;Centro Público;No consta;49
Asturias, Principado de;Hombres;Centro Privado;Total;225
Asturias, Principado de;Hombres;Centro Privado;Usuario experto;48
Asturias, Principado de;Hombres;Centro Privado;Usuario de nivel avanzado;128
Asturias, Principado de;Hombres;Centro Privado;Usuario de nivel básico;49
Asturias, Principado de;Hombres;Centro Privado;No usuario de las TIC;0
Asturias, Principado de;Hombres;Centro Privado;No consta;0
Asturias, Principado de;Mujeres;Total;Total;1.398
Asturias, Principado de;Mujeres;Total;Usuario experto;318
Asturias, Principado de;Mujeres;Total;Usuario de nivel avanzado;817
Asturias, Principado de;Mujeres;Total;Usuario de nivel básico;263
Asturias, Principado de;Mujeres;Total;No usuario de las TIC;0
Asturias, Principado de;Mujeres;Total;No consta;0
Asturias, Principado de;Mujeres;Centro Público;Total;1.091
Asturias, Principado de;Mujeres;Centro Público;Usuario experto;301
Asturias, Principado de;Mujeres;Centro Público;Usuario de nivel avanzado;640
Asturias, Principado de;Mujeres;Centro Público;Usuario de nivel básico;150
Asturias, Principado de;Mujeres;Centro Público;No usuario de las TIC;0
Asturias, Principado de;Mujeres;Centro Público;No consta;0
Asturias, Principado de;Mujeres;Centro Privado;Total;307
Asturias, Principado de;Mujeres;Centro Privado;Usuario experto;17
Asturias, Principado de;Mujeres;Centro Privado;Usuario de nivel avanzado;177
Asturias, Principado de;Mujeres;Centro Privado;Usuario de nivel básico;113
Asturias, Principado de;Mujeres;Centro Privado;No usuario de las TIC;0
Asturias, Principado de;Mujeres;Centro Privado;No consta;0
Balears, Illes;Ambos sexos;Total;Total;1.364
Balears, Illes;Ambos sexos;Total;Usuario experto;307
Balears, Illes;Ambos sexos;Total;Usuario de nivel avanzado;794
Balears, Illes;Ambos sexos;Total;Usuario de nivel básico;262
Balears, Illes;Ambos sexos;Total;No usuario de las TIC;0
Balears, Illes;Ambos sexos;Total;No consta;1
Balears, Illes;Ambos sexos;Centro Público;Total;1.141
Balears, Illes;Ambos sexos;Centro Público;Usuario experto;263
Balears, Illes;Ambos sexos;Centro Público;Usuario de nivel avanzado;674
Balears, Illes;Ambos sexos;Centro Público;Usuario de nivel básico;204
Balears, Illes;Ambos sexos;Centro Público;No usuario de las TIC;0
Balears, Illes;Ambos sexos;Centro Público;No consta;0
Balears, Illes;Ambos sexos;Centro Privado;Total;223
Balears, Illes;Ambos sexos;Centro Privado;Usuario experto;44
Balears, Illes;Ambos sexos;Centro Privado;Usuario de nivel avanzado;120
Balears, Illes;Ambos sexos;Centro Privado;Usuario de nivel básico;58
Balears, Illes;Ambos sexos;Centro Privado;No usuario de las TIC;0
Balears, Illes;Ambos sexos;Centro Privado;No consta;1
Balears, Illes;Hombres;Total;Total;629
Balears, Illes;Hombres;Total;Usuario experto;222
Balears, Illes;Hombres;Total;Usuario de nivel avanzado;290
Balears, Illes;Hombres;Total;Usuario de nivel básico;116
Balears, Illes;Hombres;Total;No usuario de las TIC;0
Balears, Illes;Hombres;Total;No consta;1
Balears, Illes;Hombres;Centro Público;Total;536
Balears, Illes;Hombres;Centro Público;Usuario experto;183
Balears, Illes;Hombres;Centro Público;Usuario de nivel avanzado;262
Balears, Illes;Hombres;Centro Público;Usuario de nivel básico;91
Balears, Illes;Hombres;Centro Público;No usuario de las TIC;0
Balears, Illes;Hombres;Centro Público;No consta;0
Balears, Illes;Hombres;Centro Privado;Total;93
Balears, Illes;Hombres;Centro Privado;Usuario experto;39
Balears, Illes;Hombres;Centro Privado;Usuario de nivel avanzado;29
Balears, Illes;Hombres;Centro Privado;Usuario de nivel básico;25
Balears, Illes;Hombres;Centro Privado;No usuario de las TIC;0
Balears, Illes;Hombres;Centro Privado;No consta;1
Balears, Illes;Mujeres;Total;Total;735
Balears, Illes;Mujeres;Total;Usuario experto;86
Balears, Illes;Mujeres;Total;Usuario de nivel avanzado;504
Balears, Illes;Mujeres;Total;Usuario de nivel básico;146
Balears, Illes;Mujeres;Total;No usuario de las TIC;0
Balears, Illes;Mujeres;Total;No consta;0
Balears, Illes;Mujeres;Centro Público;Total;605
Balears, Illes;Mujeres;Centro Público;Usuario experto;80
Balears, Illes;Mujeres;Centro Público;Usuario de nivel avanzado;413
Balears, Illes;Mujeres;Centro Público;Usuario de nivel básico;112
Balears, Illes;Mujeres;Centro Público;No usuario de las TIC;0
Balears, Illes;Mujeres;Centro Público;No consta;0
Balears, Illes;Mujeres;Centro Privado;Total;130
Balears, Illes;Mujeres;Centro Privado;Usuario experto;6
Balears, Illes;Mujeres;Centro Privado;Usuario de nivel avanzado;91
Balears, Illes;Mujeres;Centro Privado;Usuario de nivel básico;33
Balears, Illes;Mujeres;Centro Privado;No usuario de las TIC;0
Balears, Illes;Mujeres;Centro Privado;No consta;0
Canarias;Ambos sexos;Total;Total;5.048
Canarias;Ambos sexos;Total;Usuario experto;941
Canarias;Ambos sexos;Total;Usuario de nivel avanzado;3.234
Canarias;Ambos sexos;Total;Usuario de nivel básico;803
Canarias;Ambos sexos;Total;No usuario de las TIC;0
Canarias;Ambos sexos;Total;No consta;70
Canarias;Ambos sexos;Centro Público;Total;4.537
Canarias;Ambos sexos;Centro Público;Usuario experto;912
Canarias;Ambos sexos;Centro Público;Usuario de nivel avanzado;2.898
Canarias;Ambos sexos;Centro Público;Usuario de nivel básico;657
Canarias;Ambos sexos;Centro Público;No usuario de las TIC;0
Canarias;Ambos sexos;Centro Público;No consta;70
Canarias;Ambos sexos;Centro Privado;Total;511
Canarias;Ambos sexos;Centro Privado;Usuario experto;29
Canarias;Ambos sexos;Centro Privado;Usuario de nivel avanzado;336
Canarias;Ambos sexos;Centro Privado;Usuario de nivel básico;146
Canarias;Ambos sexos;Centro Privado;No usuario de las TIC;0
Canarias;Ambos sexos;Centro Privado;No consta;0
Canarias;Hombres;Total;Total;2.280
Canarias;Hombres;Total;Usuario experto;651
Canarias;Hombres;Total;Usuario de nivel avanzado;1.435
Canarias;Hombres;Total;Usuario de nivel básico;124
Canarias;Hombres;Total;No usuario de las TIC;0
Canarias;Hombres;Total;No consta;70
Canarias;Hombres;Centro Público;Total;2.065
Canarias;Hombres;Centro Público;Usuario experto;622
Canarias;Hombres;Centro Público;Usuario de nivel avanzado;1.280
Canarias;Hombres;Centro Público;Usuario de nivel básico;94
Canarias;Hombres;Centro Público;No usuario de las TIC;0
Canarias;Hombres;Centro Público;No consta;70
Canarias;Hombres;Centro Privado;Total;215
Canarias;Hombres;Centro Privado;Usuario experto;29
Canarias;Hombres;Centro Privado;Usuario de nivel avanzado;156
Canarias;Hombres;Centro Privado;Usuario de nivel básico;30
Canarias;Hombres;Centro Privado;No usuario de las TIC;0
Canarias;Hombres;Centro Privado;No consta;0
Canarias;Mujeres;Total;Total;2.768
Canarias;Mujeres;Total;Usuario experto;291
Canarias;Mujeres;Total;Usuario de nivel avanzado;1.799
Canarias;Mujeres;Total;Usuario de nivel básico;679
Canarias;Mujeres;Total;No usuario de las TIC;0
Canarias;Mujeres;Total;No consta;0
Canarias;Mujeres;Centro Público;Total;2.472
Canarias;Mujeres;Centro Público;Usuario experto;291
Canarias;Mujeres;Centro Público;Usuario de nivel avanzado;1.618
Canarias;Mujeres;Centro Público;Usuario de nivel básico;563
Canarias;Mujeres;Centro Público;No usuario de las TIC;0
Canarias;Mujeres;Centro Público;No consta;0
Canarias;Mujeres;Centro Privado;Total;296
Canarias;Mujeres;Centro Privado;Usuario experto;0
Canarias;Mujeres;Centro Privado;Usuario de nivel avanzado;180
Canarias;Mujeres;Centro Privado;Usuario de nivel básico;116
Canarias;Mujeres;Centro Privado;No usuario de las TIC;0
Canarias;Mujeres;Centro Privado;No consta;0
Cantabria;Ambos sexos;Total;Total;1.585
Cantabria;Ambos sexos;Total;Usuario experto;335
Cantabria;Ambos sexos;Total;Usuario de nivel avanzado;982
Cantabria;Ambos sexos;Total;Usuario de nivel básico;260
Cantabria;Ambos sexos;Total;No usuario de las TIC;4
Cantabria;Ambos sexos;Total;No consta;4
Cantabria;Ambos sexos;Centro Público;Total;1.080
Cantabria;Ambos sexos;Centro Público;Usuario experto;272
Cantabria;Ambos sexos;Centro Público;Usuario de nivel avanzado;638
Cantabria;Ambos sexos;Centro Público;Usuario de nivel básico;165
Cantabria;Ambos sexos;Centro Público;No usuario de las TIC;4
Cantabria;Ambos sexos;Centro Público;No consta;0
Cantabria;Ambos sexos;Centro Privado;Total;505
Cantabria;Ambos sexos;Centro Privado;Usuario experto;63
Cantabria;Ambos sexos;Centro Privado;Usuario de nivel avanzado;343
Cantabria;Ambos sexos;Centro Privado;Usuario de nivel básico;95
Cantabria;Ambos sexos;Centro Privado;No usuario de las TIC;0
Cantabria;Ambos sexos;Centro Privado;No consta;4
Cantabria;Hombres;Total;Total;762
Cantabria;Hombres;Total;Usuario experto;283
Cantabria;Hombres;Total;Usuario de nivel avanzado;369
Cantabria;Hombres;Total;Usuario de nivel básico;102
Cantabria;Hombres;Total;No usuario de las TIC;4
Cantabria;Hombres;Total;No consta;4
Cantabria;Hombres;Centro Público;Total;595
Cantabria;Hombres;Centro Público;Usuario experto;229
Cantabria;Hombres;Centro Público;Usuario de nivel avanzado;287
Cantabria;Hombres;Centro Público;Usuario de nivel básico;75
Cantabria;Hombres;Centro Público;No usuario de las TIC;4
Cantabria;Hombres;Centro Público;No consta;0
Cantabria;Hombres;Centro Privado;Total;167
Cantabria;Hombres;Centro Privado;Usuario experto;54
Cantabria;Hombres;Centro Privado;Usuario de nivel avanzado;82
Cantabria;Hombres;Centro Privado;Usuario de nivel básico;27
Cantabria;Hombres;Centro Privado;No usuario de las TIC;0
Cantabria;Hombres;Centro Privado;No consta;4
Cantabria;Mujeres;Total;Total;823
Cantabria;Mujeres;Total;Usuario experto;52
Cantabria;Mujeres;Total;Usuario de nivel avanzado;612
Cantabria;Mujeres;Total;Usuario de nivel básico;158
Cantabria;Mujeres;Total;No usuario de las TIC;0
Cantabria;Mujeres;Total;No consta;0
Cantabria;Mujeres;Centro Público;Total;485
Cantabria;Mujeres;Centro Público;Usuario experto;43
Cantabria;Mujeres;Centro Público;Usuario de nivel avanzado;351
Cantabria;Mujeres;Centro Público;Usuario de nivel básico;90
Cantabria;Mujeres;Centro Público;No usuario de las TIC;0
Cantabria;Mujeres;Centro Público;No consta;0
Cantabria;Mujeres;Centro Privado;Total;338
Cantabria;Mujeres;Centro Privado;Usuario experto;9
Cantabria;Mujeres;Centro Privado;Usuario de nivel avanzado;261
Cantabria;Mujeres;Centro Privado;Usuario de nivel básico;68
Cantabria;Mujeres;Centro Privado;No usuario de las TIC;0
Cantabria;Mujeres;Centro Privado;No consta;0
Castilla y León;Ambos sexos;Total;Total;6.004
Castilla y León;Ambos sexos;Total;Usuario experto;1.290
Castilla y León;Ambos sexos;Total;Usuario de nivel avanzado;3.756
Castilla y León;Ambos sexos;Total;Usuario de nivel básico;931
Castilla y León;Ambos sexos;Total;No usuario de las TIC;17
Castilla y León;Ambos sexos;Total;No consta;10
Castilla y León;Ambos sexos;Centro Público;Total;4.412
Castilla y León;Ambos sexos;Centro Público;Usuario experto;888
Castilla y León;Ambos sexos;Centro Público;Usuario de nivel avanzado;2.785
Castilla y León;Ambos sexos;Centro Público;Usuario de nivel básico;740
Castilla y León;Ambos sexos;Centro Público;No usuario de las TIC;0
Castilla y León;Ambos sexos;Centro Público;No consta;0
Castilla y León;Ambos sexos;Centro Privado;Total;1.592
Castilla y León;Ambos sexos;Centro Privado;Usuario experto;402
Castilla y León;Ambos sexos;Centro Privado;Usuario de nivel avanzado;972
Castilla y León;Ambos sexos;Centro Privado;Usuario de nivel básico;191
Castilla y León;Ambos sexos;Centro Privado;No usuario de las TIC;17
Castilla y León;Ambos sexos;Centro Privado;No consta;10
Castilla y León;Hombres;Total;Total;2.993
Castilla y León;Hombres;Total;Usuario experto;887
Castilla y León;Hombres;Total;Usuario de nivel avanzado;1.525
Castilla y León;Hombres;Total;Usuario de nivel básico;563
Castilla y León;Hombres;Total;No usuario de las TIC;17
Castilla y León;Hombres;Total;No consta;0
Castilla y León;Hombres;Centro Público;Total;2.216
Castilla y León;Hombres;Centro Público;Usuario experto;603
Castilla y León;Hombres;Centro Público;Usuario de nivel avanzado;1.161
Castilla y León;Hombres;Centro Público;Usuario de nivel básico;452
Castilla y León;Hombres;Centro Público;No usuario de las TIC;0
Castilla y León;Hombres;Centro Público;No consta;0
Castilla y León;Hombres;Centro Privado;Total;777
Castilla y León;Hombres;Centro Privado;Usuario experto;284
Castilla y León;Hombres;Centro Privado;Usuario de nivel avanzado;365
Castilla y León;Hombres;Centro Privado;Usuario de nivel básico;111
Castilla y León;Hombres;Centro Privado;No usuario de las TIC;17
Castilla y León;Hombres;Centro Privado;No consta;0
Castilla y León;Mujeres;Total;Total;3.011
Castilla y León;Mujeres;Total;Usuario experto;403
Castilla y León;Mujeres;Total;Usuario de nivel avanzado;2.231
Castilla y León;Mujeres;Total;Usuario de nivel básico;368
Castilla y León;Mujeres;Total;No usuario de las TIC;0
Castilla y León;Mujeres;Total;No consta;10
Castilla y León;Mujeres;Centro Público;Total;2.196
Castilla y León;Mujeres;Centro Público;Usuario experto;285
Castilla y León;Mujeres;Centro Público;Usuario de nivel avanzado;1.624
Castilla y León;Mujeres;Centro Público;Usuario de nivel básico;288
Castilla y León;Mujeres;Centro Público;No usuario de las TIC;0
Castilla y León;Mujeres;Centro Público;No consta;0
Castilla y León;Mujeres;Centro Privado;Total;815
Castilla y León;Mujeres;Centro Privado;Usuario experto;118
Castilla y León;Mujeres;Centro Privado;Usuario de nivel avanzado;607
Castilla y León;Mujeres;Centro Privado;Usuario de nivel básico;80
Castilla y León;Mujeres;Centro Privado;No usuario de las TIC;0
Castilla y León;Mujeres;Centro Privado;No consta;10
Castilla - La Mancha;Ambos sexos;Total;Total;4.762
Castilla - La Mancha;Ambos sexos;Total;Usuario experto;1.532
Castilla - La Mancha;Ambos sexos;Total;Usuario de nivel avanzado;2.492
Castilla - La Mancha;Ambos sexos;Total;Usuario de nivel básico;696
Castilla - La Mancha;Ambos sexos;Total;No usuario de las TIC;0
Castilla - La Mancha;Ambos sexos;Total;No consta;42
Castilla - La Mancha;Ambos sexos;Centro Público;Total;4.282
Castilla - La Mancha;Ambos sexos;Centro Público;Usuario experto;1.469
Castilla - La Mancha;Ambos sexos;Centro Público;Usuario de nivel avanzado;2.226
Castilla - La Mancha;Ambos sexos;Centro Público;Usuario de nivel básico;548
Castilla - La Mancha;Ambos sexos;Centro Público;No usuario de las TIC;0
Castilla - La Mancha;Ambos sexos;Centro Público;No consta;38
Castilla - La Mancha;Ambos sexos;Centro Privado;Total;480
Castilla - La Mancha;Ambos sexos;Centro Privado;Usuario experto;63
Castilla - La Mancha;Ambos sexos;Centro Privado;Usuario de nivel avanzado;266
Castilla - La Mancha;Ambos sexos;Centro Privado;Usuario de nivel básico;147
Castilla - La Mancha;Ambos sexos;Centro Privado;No usuario de las TIC;0
Castilla - La Mancha;Ambos sexos;Centro Privado;No consta;4
Castilla - La Mancha;Hombres;Total;Total;2.322
Castilla - La Mancha;Hombres;Total;Usuario experto;782
Castilla - La Mancha;Hombres;Total;Usuario de nivel avanzado;1.279
Castilla - La Mancha;Hombres;Total;Usuario de nivel básico;231
Castilla - La Mancha;Hombres;Total;No usuario de las TIC;0
Castilla - La Mancha;Hombres;Total;No consta;30
Castilla - La Mancha;Hombres;Centro Público;Total;2.076
Castilla - La Mancha;Hombres;Centro Público;Usuario experto;735
Castilla - La Mancha;Hombres;Centro Público;Usuario de nivel avanzado;1.135
Castilla - La Mancha;Hombres;Centro Público;Usuario de nivel básico;180
Castilla - La Mancha;Hombres;Centro Público;No usuario de las TIC;0
Castilla - La Mancha;Hombres;Centro Público;No consta;26
Castilla - La Mancha;Hombres;Centro Privado;Total;246
Castilla - La Mancha;Hombres;Centro Privado;Usuario experto;47
Castilla - La Mancha;Hombres;Centro Privado;Usuario de nivel avanzado;144
Castilla - La Mancha;Hombres;Centro Privado;Usuario de nivel básico;51
Castilla - La Mancha;Hombres;Centro Privado;No usuario de las TIC;0
Castilla - La Mancha;Hombres;Centro Privado;No consta;4
Castilla - La Mancha;Mujeres;Total;Total;2.440
Castilla - La Mancha;Mujeres;Total;Usuario experto;750
Castilla - La Mancha;Mujeres;Total;Usuario de nivel avanzado;1.214
Castilla - La Mancha;Mujeres;Total;Usuario de nivel básico;465
Castilla - La Mancha;Mujeres;Total;No usuario de las TIC;0
Castilla - La Mancha;Mujeres;Total;No consta;12
Castilla - La Mancha;Mujeres;Centro Público;Total;2.206
Castilla - La Mancha;Mujeres;Centro Público;Usuario experto;735
Castilla - La Mancha;Mujeres;Centro Público;Usuario de nivel avanzado;1.091
